timestamp_local,Factor 1,Factor 2,Factor 3,Factor 4
2025-08-09 00:00:00,0.022568259244004893,0.03238581483225593,0.09993666295982538,0.003495738758075913
2025-08-09 01:00:00,0.014941453458471766,0.03809010234487301,0.09713198961312314,0.005908475830071324
2025-08-09 02:00:00,0.021814348055813917,0.044106467604055816,0.08207334394516125,0.006124204605524526
2025-08-09 03:00:00,0.018174950812337012,0.04724452871878081,0.08690042014385833,0.006149578595372005
2025-08-09 04:00:00,0.014260884159808912,0.0470178317446336,0.0933625110708799,0.004601534429081705
2025-08-09 05:00:00,0.015815092401866508,0.04309031141198191,0.09493298722649093,0.0038347238244304084
2025-08-09 06:00:00,0.03082407116556794,0.04467877950747783,0.07947560119299124,0.005231171889109299
2025-08-09 07:00:00,0.024188208748919932,0.04915848184687891,0.0853290526921301,0.006056967244052711
2025-08-09 08:00:00,0.025213684944834332,0.046376990396721954,0.0856593929309044,0.007610379364079015
2025-08-09 09:00:00,0.029120202291618266,0.03948796635004651,0.08713096338046397,0.00549393051231017
2025-08-09 10:00:00,0.025377532733064773,0.03944810321726774,0.10506576255209651,0.0021870115526883725
2025-08-09 11:00:00,0.033736105233845244,0.03577891265829543,0.11818946258279676,0.0009330451373277118
